Classification,Summary
0,nodal marginal zone cell lymphoma diagnosis and positive serology for hepatitis hc defined as positive test for hcab
0,recurrent adult cell leukemia lymphoma diagnosis and history of brain metastases
0,bladder cancer diagnosis and ongoing cardiac dysrhythmias of nci ctcae version doc grade greater_than two
1,relapsed or refractory medulloblastoma mb part also include neuroblastoma nb ewing sarcoma es and alveolar rhabdomyosarcoma arms diagnosis and have no symptoms of cranial hypertension or convulsions within fourteen days before cycle one day one anti epileptic drugs and corticoids are allowed to control any preexisting symptoms
0,hepatocellular carcinoma diagnosis and cardiac arrhythmias requiring anti arrhythmic therapy other than beta blockers or digoxin
0,stage ib gastric cancer diagnosis and active autoimmune disorders including patients known to be human immunodeficiency virus hiv positive or those requiring chronic steroid administration excluding inhaled steroids
1,adult solid neoplasm diagnosis and fasting plasma glucose less_than one hundred and twenty mg dl
1,childhood oligodendroglioma diagnosis and alt and ast less_than three times uln
0,breast cancer diagnosis and all medical problems must be managed and controlled
1,recurrent melanoma diagnosis and surgically resected or have been treated with gamma_knife or stereotactic radiosurgery
0,non hodgkin lymphoma diagnosis and active uncontrolled cns leukemia
1,embryonal childhood rhabdomyosarcoma diagnosis and first relapse or first occurrence of disease progression
0,stage iiic rectal cancer diagnosis and abdominal masses that are not confirmed and followed by imaging techniques
0,carcinoma squamous diagnosis and active uncontrolled infection e
1,breast cancer diagnosis and endocrine therapy
1,erbbtwo positive stage iii breast cancer diagnosis and karnofsky performance status of seventy or higher
1,salivary gland squamous cell carcinoma diagnosis and no uncontrolled hypertension
1,high grade glioma diagnosis and one four cmthree
1,prostate cancer diagnosis and disease progression is defined as development of new metastatic lesions or greater_than two consecutive rises in prostate specific antigen psa over reference value
0,untreated childhood myeloid neoplasm diagnosis and enrollment may occur pending results of clinically indicated studies to exclude these conditions
0,familial adenomatous polyposis coli diagnosis and subjects who are due to undergo an anticipated colectomy within eight months of randomisation
0,neoplasm metastasis diagnosis and allergy to polysorbate eighty doxorubicin or egg lecithin
1,recurrent non small cell lung cancer diagnosis and no evidence of coagulopathy defined as pt and or ptt equal_than less_than doc uln or platelets greater_than equal_than one hundred zero
0,multiple myeloma diagnosis and patients with known cirrhosis
0,intraocular lymphoma diagnosis and donor
0,stage iv grade one follicular lymphoma diagnosis and recipient is human immunodeficiency virus hiv one positive
0,lymphoma diagnosis and patients with history of cardiac arrhythmias should have cardiac evaluation and clearance
0,stage iv breast cancer diagnosis and pregnant or lactating women of childbearing potential with either positive or no pregnancy test at baseline are excluded
1,stage iv adult diffuse large cell lymphoma diagnosis and more than four weeks since prior major surgery
0,peritoneal neoplasms diagnosis and no patients with clinically significant cardiovascular disease
0,colorectal cancer diagnosis and psychiatric disorder compromising comprehension or participation in the study
0,ovarian neoplasms diagnosis and patients who have malignancy that is not primary gynecologic malignancy
1,stage iii renal cell cancer diagnosis and an overlap between classes of therapies given concurrently will be counted as two prior treatment regimens
0,pain that is not cancer related
0,colorectal adenoma diagnosis and high bad cholesterol level low density_lipoprotein ldl greater than one hundred and seventy-five mg dl or triglyceride levels greater than six hundred mg dl
0,hormone receptor positive er positive pr positive and her negative metastatic breast cancer diagnosis and hormonal contraception methods oral injected implanted are not allowed as it cannot be ruled out that the study drug decreases the effectiveness of hormonal contraception two exually active males who are unwilling to use condom during intercourse while taking drug and for six months after stopping investigational medications and agree not father child in this period
1,stage iii lymphoepithelioma of the oropharynx diagnosis and no proteinuria
1,metastatic cancer diagnosis and gastrointestinal
1,recurrent grade two follicular lymphoma diagnosis and has not been naturally postmenopausal for at least 1two consecutive months has had menses at any time in the preceding 1two consecutive months
1,melanoma diagnosis and aspartate aminotransferase ast and alanine aminotransferase alt equal_than less_than three times institutional upper normal level ast and alt equal_than less_than five times institutional upper normal level if there is evidence of liver metastasis
0,urogenital neoplasms diagnosis and serious or uncontrolled co existent non malignant disease including active and uncontrolled infection
0,hepatocellular carcinoma diagnosis and patients who disagree to participate in this study
0,stage iva squamous cell carcinoma of the oropharynx diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to sorafenib docetaxel cisplatin
0,other malignancy except nonmelanoma skin cancer unless disease free for the past three years
1,splenic marginal zone lymphoma diagnosis and normal karyotype who are fltthree_itd negative and npmone positive in the absence of kit mutations
1,neoplasms advanced or metastatic diagnosis and aspartate aminotransferase ast and alanine aminotransferase alt less_than doc uln
0,other malignancy except completely excised basal or squamous cell carcinoma of the skin or completely treated carcinoma in situ of the cervix
0,adult anaplastic astrocytoma diagnosis and patients who are known to be human immunodeficiency virus hiv positive and are receiving combination antiretroviral therapy are ineligible
0,refractory extranodal marginal zone lymphoma of mucosa associated lymphoid tissue diagnosis and major surgery within fourteen days before enrollment
1,unspecified childhood solid tumor protocol specific diagnosis and patient characteristics
1,stage iv breast cancer diagnosis and if subject is on an investigational drug the drug must be cleared from the body over period of four weeks
0,recurrent childhood brain stem glioma diagnosis and patients who are receiving drugs that are strong inducers or inhibitors of cytochrome pfour hundred and fifty family three subfamily polypeptide four cypthreeafour
0,bone tumor diagnosis and known reaction to gd dtpa
0,hepatocellular carcinoma diagnosis and prior uncontrolled life threatening malignancy within the six months
1,stage ii rectal cancer diagnosis and patients with history of hypertension must have blood pressure less_than one hundred and fifty ninety mm hg and be on stable regimen of antihypertensive therapy
0,mesothelioma diagnosis and patients will be ineligible if the white blood cell wbc is less than three thousand microliters or platelets are less than seventy-five zeroml mm three
0,stage ivb squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and john wort hypericum_perforatum or rifampin rifampicin and or rifabutin within twenty-eight days before randomization
1,breast cancer diagnosis and lesions on chest ray are allowed provided they are clearly defined and surrounded by aerated lung
0,clear cell carcinoma diagnosis and prior allogeneic hematopoietic stem cell transplant
1,subjects with recurrent disease stage iii iv diagnosis of epithelial ovarian cancer fallopian tube cancer or primary peritoneal carcinoma
1,lung cancer diagnosis and at least two weeks since prior thoracic or other major surgery and recovered
0,other current drug therapy for the cancer
0,melanoma skin diagnosis and no autoimmune disorders or conditions of immunosuppression
0,trichilemmocarcinoma diagnosis and hiv positive patients on combination antiretroviral therapy are ineligible appropriate studies will be undertaken in patients receiving combination antiretroviral therapy when indicated
0,treatment with any anti cancer agents within twenty-eight days of study entry
0,stage iii malignant mesothelioma diagnosis and cardiac arrhythmias
0,multiple myeloma diagnosis and received autologous stem cell transplant asct within twelve weeks before the date of randomization or the participant has previously received an allogenic stem cell transplant regardless of timing
0,ovarian brenner tumor diagnosis and patients who are pregnant or nursing
1,childhood desmoplastic small round cell tumor diagnosis and bilirubin less_than doc mg dl
0,myelodysplastic myeloproliferative neoplasms diagnosis and female patients who are pregnant or lactating
0,prostate cancer diagnosis and patients on anticoagulants such as warfarin must be able to safely stop the drug for three day period
0,neoplasms diagnosis and pregnant or breast feeding subjects
0,neoplasm metastasis diagnosis and antipsychotic medication
1,locally advanced malignant neoplasm diagnosis and serum albumin greater_than doc gm dl
0,recurrent adult diffuse large cell lymphoma diagnosis and identical twin
0,gastric cancer diagnosis and known dihydropyrimidine_dehydrogenase dpd deficiency
1,women affected by histologically proven metastatic breast cancer
1,childhood cancer diagnosis and carboplatin
0,stage iiib breast cancer diagnosis and psychiatric illness which would prevent the patient from giving informed consent
0,stage iv adult diffuse large cell lymphoma diagnosis and patient or donor with history of hepatitis or and or positive serology consistent with previous hepatitis or infection patients and or donor who received hepatitis vaccination are acceptable
0,aggressive cell lymphoma diagnosis and presence of grade iii nervous toxicity with two weeks
1,metastatic cancer diagnosis and no active psychotic disorder requiring pharmacotherapy
0,malignant neoplasm of gastrointestinal tract diagnosis and of proton_pump inhibitor htwo antagonist or pancreatic enzymes
0,neuroblastoma diagnosis and anti hsv antivirals
1,testicular lymphoma diagnosis and bulky disease greater_than equal_than five cm in at least one dimension
1,stage iii grade two follicular lymphoma diagnosis and at least four weeks since prior radiotherapy
0,recurrent primary peritoneal carcinoma diagnosis and no more than superficial myometrial invasion
1,male breast cancer diagnosis and correctly placed copper containing intrauterine device iud
1,recurrent adult immunoblastic large cell lymphoma diagnosis and donor
0,stage small lymphocytic lymphoma diagnosis and patient or donor infected with human immunodeficiency virus hiv
0,solid tumors diagnosis and amylase and lipase less_than doc uln
1,have an automatic implantable_cardioverter defibrillator_aicd or cardiac pacemaker
1,malignant melanoma diagnosis and karnofsky performance scale greater_than seventy or who performance status of zero or one
1,stage ivb rectal cancer diagnosis and patients must not have an active inflammatory bowel disease or other serious medical illness which might limit the ability of the patient to receive protocol therapy
1,stage iii adult diffuse small cleaved cell lymphoma diagnosis and note
0,uncontrolled intercurrent illness including but not limited to ongoing or active infection including hiv active hepatitis or symptomatic congestive heart failure unstable angina pectoris cardiac arrhythmia poorly controlled diabetes or psychiatric illness social situations that would limit compliance with study requirements
1,stage iv enteropathy associated cell lymphoma diagnosis and all females of childbearing potential must have blood test within two weeks prior to registration to rule out pregnancy
0,stage iiic fallopian tube cancer diagnosis and hemoptysis liver rupture
0,unresectable recurrent locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma diagnosis and pregnancy or lactation
0,cervical squamous cell carcinoma not otherwise specified diagnosis and patients who are receiving any other investigational agents
1,recurrent prostate carcinoma diagnosis and prior therapy with abiraterone enzalutamide and or docetaxel if patient has not received docetaxel or cabazitaxel chemotherapy the patient must be informed of this treatment choice as an alternative if the patient has received docetaxel or cabazitaxel chemotherapy or refuses one of both of these therapies this rationale must be documented and the patient is then eligible patient must be offered and made aware of all food and drug administration fda approved treatment options patients may not have received radium two hundred and twenty-three
1,recurrent squamous cell carcinoma of the oropharynx diagnosis and one five hundred ul
1,recurrent laryngeal squamous cell carcinoma diagnosis and peripheral vascular disease
0,malignant neoplasm of stomach diagnosis and pregnant women or women who might become pregnant during the study or who plan to become pregnant within six months after the last administration of study drug or lactating women
0,stage mantle cell lymphoma diagnosis and donor
1,adult giant cell glioblastoma diagnosis and willing to provide mandatory blood and tissue samples for correlative research purposes phase and ii
0,cancers of non thoracic origin with metastases to the lungs or pleura diagnosis and uncontrolled hypertension greater than or equal to one hundred and sixty ninety-five
0,myeloma diagnosis and any serious medical condition or psychiatric illness that would prevent the subject from signing the informed consent form
1,angioimmunoblastic cell lymphoma diagnosis and no weight loss greater_than ten within the past two months
0,stage iiia uterine corpus cancer diagnosis and new york heart association nyha class ii or greater congestive heart failure
0,recurrent fallopian tube carcinoma diagnosis and active or chronic corneal disorder including but not limited to the following
1,cancer of the breast diagnosis and to be valid for baseline the measurements must have been made within the fourteen days if palpable
0,epithelial ovarian cancer diagnosis and clinically significant heart disease congestive heart failure of new york heart association class iii or iv angina not well controlled by medication or myocardial infarction within six months
1,adenocarcinoma of the colon diagnosis and no serious non healing wound ulcer or bone fracture
0,solid tumors diagnosis and morphometric vertebral fractures
0,diffuse large cell lymphoma diagnosis and patient with reproductive potential not willing to use an acceptable method of birth control hormonal contraception intrauterine device condom or diaphragm with spermicide or abstinence for the duration of the study and one year post completion of therapy
1,recurrent childhood rhabdomyosarcoma diagnosis and oxcarbazepine
0,recurrent pancreatic cancer diagnosis and new york heart association nyha grade ii or greater congestive heart failure see appendix e
1,lymphoma diagnosis and minimal residual disease greater than one zero blasts one00 zero mononuclear bone marrow cells at evaluation of ia day thirty-five
0,breast cancer diagnosis and history of different malignancy except for the following circumstances
0,peripheral cell lymphomas not otherwise specified ptcl nos diagnosis and any active uncontrolled infection
0,estrogen receptor negative breast cancer diagnosis and documented arrhythmia or cardiac valvular disease that requires medication or is medically significant
0,melanoma diagnosis and prior treatment with mek inhibitor
0,colon cancer diagnosis and female patients who are pregnant or lactating
0,indolent non hodgkin lymphoma diagnosis and patients with rapidly progressive intermediate or high grade nhl
1,unspecified adult solid tumor protocol specific diagnosis and platelet count greater_than one hundred zero mm³
1,should woman become pregnant or suspect she is pregnant while participating in this study she should inform her treating physician immediately
1,stage iii rectal cancer diagnosis and ritonavir
0,adenocarcinoma diagnosis and women of childbearing potential or men who are able to father child unwilling to use medically acceptable method of contraception during the trial
0,history of other type of cancer except resolved from skin cancer and cervical cancer
1,liver cancer diagnosis and no uncontrolled angina
1,diffuse large cell lymphoma diagnosis and intermediate one int one per international prognostic_scoring system ipss after greater_than or equal_than one prior cycle of induction chemotherapy must have less_than five marrow blasts at time of transplant
0,neuroblastoma diagnosis and lansky karnofsky score less_than sixty
0,cancer diagnosis and serious infection requiring systemic antibiotic therapy within fourteen days prior to study treatment
0,adult supratentorial primitive neuroectodermal tumor pnet diagnosis and patients must have no evidence of metastatic disease metastatic disease
0,stage iib fallopian tube cancer diagnosis and patients with clinically significant proteinuria urine protein should be screened by urine protein creatinine ratio upcr patients must have upcr less_than doc to allow participation in the study
1,recurrent squamous cell carcinoma of the hypopharynx diagnosis and hemoglobin greater_than ten dl
0,lymphomas diagnosis and any other major illness that in the investigator judgment will substantially increase the risk associated with the patient participation in this study
0,multiple myeloma diagnosis and if not applicable then investigator to document not applicable
1,non hodgkin lymphoma diagnosis and good performance status and normal initial normal blood count
0,recurrent uterine corpus carcinoma diagnosis and right bundle_branch block positive left anterior_hemiblock bi fascicular block
1,stage iiib uterine corpus cancer diagnosis and surgery must have included hysterectomy and bilateral salpingooophorectomy
0,carcinoma of the vulva diagnosis and significant vascular disease aortic aneurysm aortic dissection
0,malignant non hodgkin lymphomas diagnosis and noteworthy patients with seropositivity for hiv or for hepatitis and are not excluded from this study if they are otherwise considered fit for asct
1,recurrent grade two follicular lymphoma diagnosis and ability to understand and the willingness to sign written informed consent all patients must have signed witnessed informed consent prior to registration
1,stage iii squamous cell carcinoma of the larynx diagnosis and negative pregnancy test
0,stage iiia primary peritoneal cancer diagnosis and patients with clinical symptoms or signs of gastrointestinal obstruction and who require parenteral hydration or nutrition
0,hepatocellular carcinoma diagnosis and should not father child in this period
1,provision of tumor sample from either resection or biopsy
1,breast cancer diagnosis and biologic therapy
0,prostate cancer diagnosis and no prior radiotherapy to the pelvis
0,stage iv adult diffuse small cleaved cell lymphoma diagnosis and donors less_than twelve years of age
0,kidney neoplasms diagnosis and conservative surgery feasible in good technical and carcinological conditions
0,anal cancer diagnosis and doc
0,esophageal cancer diagnosis and has history or current evidence of any condition therapy or laboratory abnormality that might confound the results of the trial interfere with the subject participation for the full duration of the trial or is not in the best interest of the subject to participate in the opinion of the treating investigator
1,ovarian transitional cell carcinoma diagnosis and primary surgery and neoadjuvant chemotherapy with interval cytoreductive surgery patients
0,has known active central nervous system cns metastases and or carcinomatous_meningitis or leptomeningeal disease
1,stage iv rectal cancer diagnosis and bilirubin no greater than doc times upper limit of normal uln
1,stage iv squamous cell carcinoma of the hypopharynx diagnosis and leukocytes greater_than three zero ul
0,stage iv pancreatic cancer diagnosis and any condition or abnormality which may in the opinion of the investigator compromise the safety of the patient
0,stage iv urethral cancer diagnosis and patients with known hypersensitivity to gemcitabine arm only
0,anti cancer therapy between biopsy and submission of sample
0,stage ivb thyroid gland papillary carcinoma diagnosis and any history of cerebrovascular accident cva or transient ischemic attack within twelve months prior to study entry
0,glioblastoma multiforme diagnosis and absolute neutrophil count anc less_than one thousand
1,neoplasms kidney diagnosis and the following laboratory results should be within the following limits within the last four weeks prior to study day one
0,poorly differentiated thyroid gland carcinoma diagnosis and not willing to discontinue use of supplemental vitamin e
0,multiple myeloma diagnosis and systemic corticosteroids less_than one week prior to day one in phase onea
0,non small cell lung carcinoma diagnosis and appropriate studies will be undertaken in patients receiving combination antiretroviral therapy when indicated
1,adenocarcinoma of the lung diagnosis and maximum dose greater_than sixty-six gy allowed in only one lobar bronchus
0,recurrent breast carcinoma diagnosis and for patients who will receive tc regardless of the patient age
0,stage ivc follicular thyroid cancer diagnosis and malabsorption syndrome
0,diffuse large cell lymphoma diagnosis and wocbp are defined as sexually mature women who have not undergone hysterectomy or who have not been naturally postmenopausal for at least twelve consecutive months ie
1,neoplasms diagnosis and signed written informed consent
1,lung cancer diagnosis and disease characteristics
0,recurrent prostate cancer diagnosis and cardiac symptoms any of the following should be considered for exclusion
0,stage ib cervical cancer diagnosis and patients assessed at presentation as requiring interstitial brachytherapy treatment
0,stage iva rectal cancer diagnosis and patients who have neuromuscular disorders that are associated with elevated creatine kinase ck inflammatory myopathies_muscular dystrophy amyotrophic_lateral sclerosis spinal muscular_atrophy
0,gliosarcoma diagnosis and pts undergone major non cns surgery less_than two wks prior to starting study drug pts have not recovered from side effects of such therapy
1,primary peritoneal serous adenocarcinoma diagnosis and creatinine equal_than less_than doc mg dl
0,peripheral cell lymphoma diagnosis and donor
0,squamous cell carcinoma of the head and neck diagnosis and qt interval corrected using fridericia formula qtc greater_than four hundred and fifty msec males or greater_than four hundred and seventy msec females at screening
1,medullary ductal breast carcinoma with lymphocytic infiltrate diagnosis and exclusion
0,symptomatic heart failure
0,stage iii papillary thyroid cancer diagnosis and surgery radiotherapy chemotherapy or hormonal therapy during the three weeks prior to the initiation of therapy
0,burkitt lymphoma diagnosis and females of childbearing potential must have negative pregnancy test prior to starting therapy
0,basal cell carcinoma of the skin
0,breast cancer diagnosis and any condition that will put the subject at undue risk or discomfort as result of adherence to study procedures eg requirement to take mgcdone hundred and three with low ph beverage
0,recurrent fallopian tube carcinoma diagnosis and grade greater_than equal_than three hemorrhage equal_than less_than four weeks prior to registration
1,recurrent solid neoplasm diagnosis and patients with active hemolysis should be excluded no distinction will be made between liver dysfunction due to metastases and liver dysfunction due to other causes registration laboratory investigations will be used to assign patient to hepatic function group liver function tests should be repeated within twenty-four hours prior to starting initial therapy and may result in the patients group assignment being altered if different to registration test results
1,lung cancer diagnosis and phase ii only
1,noncontiguous stage ii adult burkitt lymphoma diagnosis and failed prior autotransplant
1,adult diffuse astrocytoma diagnosis and concurrent full dose anticoagulants warfarin with pt inr greater_than doc allowed provided the following criteria are met
0,intraductal papillary mucinous neoplasm diagnosis and subjects for whom eus fna or surgery are contraindicated
1,neoplasms diagnosis and negative pregnancy test for women of child bearing potential
0,recurrent primary peritoneal carcinoma diagnosis and patients who are receiving any other investigational agents
0,metastatic breast cancer diagnosis and known history of previous clinical diagnosis of tuberculosis
0,adenocarcinoma of the prostate diagnosis and two non hormonal treatments for metastatic disease including biologics gene therapy angiogenesis inhibitors etc
0,colorectal carcinoma diagnosis and patients with impaired consciousness that might predispose them to pulmonary aspiration
1,lymphoma non hodgkin diagnosis and be counseled about pregnancy precautions and risks of fetal exposure
0,adult nasal type extranodal nk cell lymphoma diagnosis and donors
0,malignant glioma diagnosis and patients with recent resection will be eligible for entry into the surgical arm of the study but will follow guidelines as in section doc
0,multiple myeloma and plasma cell neoplasm diagnosis and unable to give informed consent for adults only
1,lymphoma diagnosis and radiotherapy
1,acral_lentiginous malignant melanoma diagnosis and patients must have either true amplification of fourqtwelve or detectable mutation of kit
0,breast cancer diagnosis and angina pectoris requiring antianginal medication or unstable angina within the previous six months
0,cancer diagnosis and subject will not be eligible for inclusion in this study if any of the following criteria apply
1,precancerous condition diagnosis and quinolones
0,multiple myeloma diagnosis and active hepatitis or infection
0,malignant triton tumor diagnosis and coronary artery bypass graft surgery
0,recurrent skin cancer diagnosis and patients with known immune deficiency are at an increased risk when treated with marrow suppressive therapy hiv positive patients receiving combination anti retroviral therapy are excluded due to the possible pharmacokinetic interactions with zdone thousand
0,diffuse large cell lymphoma diagnosis and active hiv hepatitis virus hbv or hepatitis virus hcv infection
1,neoplasm diagnosis and they are over eighteen years of age
0,cancer diagnosis and previously untreated cns metastasis or progressive cns metastasis
0,triple negative breast cancer diagnosis and patients with baseline within sevendays prior to starting study treatment qtc greater_than four hundred and fifty msec male or qtc greater_than 4seven0 msec female
1,recurrent prostate cancer diagnosis and subjects must have the ability to understand and the willingness to sign written informed consent document
1,stage iii midline lethal granuloma of the paranasal sinus and nasal cavity diagnosis and no evidence of active cns hemorrhage
0,carcinoma hepatocellular diagnosis and doc mmol l
0,metastatic intraocular melanoma diagnosis and have major systemic infections like pneumonia or sepsis coagulation or bleeding disorders or other major medical illnesses of the gastrointestinal cardiovascular or respiratory systems
0,invasive malignancy other than braf mutant melanoma or other qualifying malignant tumor with braf vsix hundred mutation within the past five years
1,recurrent childhood brain stem glioma diagnosis and no concurrent aspirin ibuprofen or other nsaids
0,contiguous stage ii grade two follicular lymphoma diagnosis and pregnant or breast feeding
0,breast cancer diagnosis and patients may not be on herceptin therapy during this protocol and may not have received it for four weeks prior to initial vaccination
0,fallopian tube clear cell adenocarcinoma diagnosis and significant cardiovascular or cerebrovascular disease including
1,malignant mesothelioma diagnosis and recovered from all prior therapy
0,uterine neoplasms diagnosis and known allergy to one of the study drugs
1,recurrent adult brain tumor diagnosis and the following laboratory values obtained less_than seven days prior to registration
0,advanced cancer various nos diagnosis and uncontrolled hyperlipidemia
0,primary small cell lung cancers diagnosis and patients with any cardiac arrhythmia requiring anti arrhythmic medication other than beta blocker or calcium channel blocker
0,recurrent neuroblastoma diagnosis and patients who are currently receiving digoxin cyclosporine tacrolimus or sirolimus are not eligible
0,patients who have had gross total excision of the primary tumor
0,clear cell neuroendocrine adenosquamous serous carcinoma or other high risk histologies
1,breast cancer diagnosis and pt inr and ptt grade zero one except for patients on coumadin or low molecular weight heparin
0,bladder transitional cell carcinoma stage iv diagnosis and prior systemic chemotherapy for advanced or metastatic disease or neoadjuvant adjuvant chemotherapy that was completed less_than six months before documented progression
1,stage iii breast cancer diagnosis and creatinine equal_than less_than doc uln
0,urethral cancer diagnosis and any prior ecg abnormality at screening has to be documented by the investigator as not medically relevant
0,malignant melanoma diagnosis and gastrointestinal abnormalities including
0,lymphoma cell cutaneous diagnosis and any serious medical condition laboratory abnormality or psychiatric illness that would
0,bladder cancer diagnosis and participation in any other research protocol involving administration of an investigational agent within three months prior to study entry aside from the phase segment of this study
0,pancreatic polypeptide tumor diagnosis and known history of brain or leptomeningeal metastases
1,adenocarcinoma of the rectum diagnosis and not pregnant or nursing
0,non small cell lung cancer diagnosis and history of hiv positivity or aids hbv and or hcv positivity is permitted
0,endometrial serous adenocarcinoma diagnosis and unstable angina pectoris
0,hepatosplenic cell lymphoma diagnosis and patients who have had major surgical procedures or significant traumatic injury within twenty-eight days prior to study treatment
0,anaplastic astrocytoma diagnosis and have valvular heart disease that requires antibiotic prophylaxis for prevention of endocarditis
1,stage iv grade three follicular lymphoma diagnosis and patients with an autoimmune disorder requires active immunosuppression are not eligible
1,stage iv rectal cancer diagnosis and progressive disease during or within six months of most recent prior chemotherapy regimen bevacizumab fluoropyrimidine oxaliplatin or irinotecan based treatment or considered ineligible for standard therapy
0,dermatofibrosarcoma_protuberans diagnosis and human immunodeficiency virus hiv positive patients on combination antiretroviral therapy are ineligible
0,mesenchymal chondrosarcoma diagnosis and pregnant or lactating women
1,glioma diagnosis and for patients on corticosteroids they must have been on stable dose one week prior to baseline mri and the dose should not be escalated over entry dose level if clinically possible
1,adenocarcinoma diagnosis and any concurrent illness that would constitute hazard to participation in study
0,head and neck neoplasms diagnosis and based on potential risks of fetal loss teratogenicity fetal growth retardation and carcinogenesis pet ct with fdg is contraindicated in the pregnant patient
1,stage iii uterine corpus cancer diagnosis and paraaortic lymph node sampling allowed
1,prostate cancer diagnosis and radiotherapy
1,breast cancer diagnosis and no concurrent chemotherapy
0,stage iiib uterine corpus cancer diagnosis and uncontrolled hypertension defined as blood pressure of greater_than equal_than one hundred and fifty mmhg systolic and or greater_than equal_than ninety mmhg diastolic
0,stage ii non contiguous adult burkitt lymphoma diagnosis and the addition of cytotoxic agents for cytoreduction with the exception of tyrosine kinase inhibitors such as imatinib cytokine therapy hydroxyurea low dose cytarabine_chlorambucil or rituxan will not be allowed within three weeks of the initiation of conditioning
1,advanced colorectal adenomas diagnosis and willingness to provide mandatory tissue and blood for protocol specified research residual tissue and or blood may be used for future research negative pregnancy test equal_than less_than seven days prior to registration randomization
1,stage adult immunoblastic large cell lymphoma diagnosis and chronic myelogenous leukemia
1,colorectal cancer diagnosis and bilirubin less_than doc uln
0,prostate cancer diagnosis and previous exposure to gpi one thousand
0,recurrent adrenal cortex carcinoma diagnosis and previous treatment with cabozantinib or another specific met hgf inhibitor tivantinib crizotinib
0,stage iiic breast cancer diagnosis and left ventricular ejection fraction lvef less_than fifty as determined by multi gated acquisition muga scan or echocardiogram echo
0,stage iv uveal melanoma diagnosis and patients with abnormal fasting glucose values values greater_than upper limit of normal uln or less_than lln at screening will be excluded in addition patients with type one diabetes will also be excluded however patients with type two diabetes will be allowed if diagnosed greater_than equal_than six months prior to enrollment and if presenting with normal fasting glucose value and regular hemoglobin aonec hbaonec equal_than less_than eight at screening
0,carcinoma non small cell lung diagnosis and in the united_states only subjects with squamous cell histology will be excluded
0,castrate resistant prostate cancer crpc diagnosis and participation in another experimental drug study either planned or within four weeks of the first study treatment
0,stage iic melanoma diagnosis and who have prior history of uveitis autoimmune inflammatory eye disease or other autoimmune diseases other than vitiligo or controlled thyroiditis
0,triple negative breast cancer diagnosis and women are considered post menopausal and not of child bearing potential if they have had twelve months of natural spontaneous amenorrhea with an appropriate clinical profile age appropriate history of vasomotor symptoms or have had surgical bilateral oophorectomy with or without hysterectomy or tubal ligation at least six weeks prior to treatment
0,symptomatic congestive heart failure
0,fallopian tube transitional cell carcinoma diagnosis and patients with serious non healing wound ulcer or bone fracture this includes history of abdominal fistula gastrointestinal perforation or intra abdominal abscess within twenty-eight days patients with granulating_incisions healing by secondary intention with no evidence of fascial_dehiscence or infection are eligible but require weekly wound examinations
1,stage iv uterine corpus cancer diagnosis and prior radiotherapy allowed
1,stage iic melanoma diagnosis and platelet count of one hundred zero per cu mm
1,urethral cancer diagnosis and no complete bundle_branch block
0,malignant peripheral nerve sheath tumor diagnosis and patients who are receiving any other investigational agent s
0,stage iiib breast cancer diagnosis and history of intolerance or hypersensitivity to trastuzumab and or pertuzumab
0,locally advanced malignant neoplasm diagnosis and patients with remote history of asthma or mild active asthma are eligible
0,malignant melanoma diagnosis and patients who are being treated with antibiotic treatment for an active infection
1,squamous cell carcinoma head and neck diagnosis and histologically or cytologically confirmed incurable hnscc of the oral cavity oropharynx larynx hypopharynx and or level one three neck node with non cutaneous scc and unknown primary
0,multiple myeloma diagnosis and subjects with plasma cell leukemia pcl
1,stage iv adult lymphoblastic lymphoma diagnosis and fertile patients must use effective contraception
1,anaplastic large cell lymphoma diagnosis and life expectancy must be greater than three months
0,second neoplasm diagnosis and medical or psychological condition which in the opinion of the investigator would not permit the participant to complete the study or sign meaningful informed consent
0,non metastatic pancreas cancer diagnosis and history of allergy or hypersensitivity to the study drugs
0,premenopausal breast cancer diagnosis and the participant has history of hypersensitivity to synthetic lh_rh lh_rh derivative tam tam analogue antiestrogen or any component of the study drug
0,hepatosplenic cell lymphoma diagnosis and donor
1,glioblastoma multiforme diagnosis and treatment for active peptic ulcer disease in the past six months
0,stage iv fallopian tube cancer diagnosis and major surgical procedure open biopsy or significant traumatic injury within twenty-eight days prior to the first date of bevacizumab therapy cycle two
1,breast cancer diagnosis and no nursing within the past six months
1,prostate cancer diagnosis and imaging examinations including emission computed tomography ect positron_emission tomography pet computed tomography ct and magnetic resonance imaging mri revealed non regional lymph node metastasis bone metastasis or visceral metastasis
1,recurrent rectal cancer diagnosis and no uncontrolled intercurrent illness including but not limited to any of the following
0,recurrent adult diffuse large cell lymphoma diagnosis and positive serology for toxoplasma_gondii and requiring treatment or with evidence of active infection
1,stage iv esthesioneuroblastoma of the paranasal sinus and nasal cavity diagnosis and creatinine clearance at least sixty ml min
0,stage iva uterine corpus cancer diagnosis and patients whose circumstances at the time of study entry do not permit completion of the study or required follow up
0,noncontiguous stage ii adult diffuse mixed cell lymphoma diagnosis and presence of uncontrolled psychiatric disorder
